name,group,year,value,lastValue,flag,color
INDIAN AIRLINES,INDIAN AIRLINES,2013,0,0,https://www.lph2o.com/images/phocagallery/aircraft%20paint%20scheme/thumbs/phoca_thumb_l_India%20Airlines%20Airbus%20A32.png,#fa029f
INDIAN AIRLINES,INDIAN AIRLINES,2014,0,0,https://www.lph2o.com/images/phocagallery/aircraft%20paint%20scheme/thumbs/phoca_thumb_l_India%20Airlines%20Airbus%20A32.png,#fa029f
INDIAN AIRLINES,INDIAN AIRLINES,2015,0,0,https://www.lph2o.com/images/phocagallery/aircraft%20paint%20scheme/thumbs/phoca_thumb_l_India%20Airlines%20Airbus%20A32.png,#fa029f
INDIAN AIRLINES,INDIAN AIRLINES,2016,0,0,https://www.lph2o.com/images/phocagallery/aircraft%20paint%20scheme/thumbs/phoca_thumb_l_India%20Airlines%20Airbus%20A32.png,#fa029f
INDIAN AIRLINES,INDIAN AIRLINES,2017,0,0,https://www.lph2o.com/images/phocagallery/aircraft%20paint%20scheme/thumbs/phoca_thumb_l_India%20Airlines%20Airbus%20A32.png,#fa029f
INDIAN AIRLINES,INDIAN AIRLINES,2018,0,0,https://www.lph2o.com/images/phocagallery/aircraft%20paint%20scheme/thumbs/phoca_thumb_l_India%20Airlines%20Airbus%20A32.png,#fa029f
AIR INDIA,AIR INDIA,1988,0,0,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1989,0,0,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1990,0,0,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1991,309530,0,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1992,393156,309530,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1993,280688,393156,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1994,369191,280688,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1995,538110,369191,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1996,579249,538110,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1997,606911,579249,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1998,680000,606911,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,1999,761000,680000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
